city,date,email,domain,region,sectors,education,job_title,experience,company_name,specialization
جدة,2024-11-01,tele2030jpc@gmail.com,gmail.com,منطقة مكة المكرمة,['التسويق والعلاقات العامة'],غير محدد,صانعة و كاتبة محتوى ابداعي للسوشال ميديا,لديهم خبرة,شركة دعاية و اعلان,اخرى
جدة,2024-11-01,Career@alkuhaimi.com,alkuhaimi.com,منطقة مكة المكرمة,['القطاع الهندسي والفني'],بكالوريوس,مهندس مبيعات,خبرة سابقة في مجال الوظيفة المطلوبة,مجموعة الكحيمي,اخرى
الرياض,2024-11-01,Career@alkuhaimi.com,alkuhaimi.com,منطقة الرياض,['القطاع الهندسي والفني'],بكالوريوس,منسق مشاريع,خبرة سابقة في مجال الوظيفة المطلوبة,مجموعة الكحيمي,اخرى
جدة,2024-11-01,Career@alkuhaimi.com,alkuhaimi.com,منطقة مكة المكرمة,['القطاع الهندسي والفني'],شهادة فنية,فني كهرباء (أبواب),خبرة سابقة في مجال الوظيفة المطلوبة,مجموعة الكحيمي,اخرى
الرياض,2024-11-01,Career@alkuhaimi.com,alkuhaimi.com,منطقة الرياض,['القطاع الهندسي والفني'],شهادة فنية,فني كهرباء (أبواب),خبرة سابقة في مجال الوظيفة المطلوبة,مجموعة الكحيمي,اخرى
المنطقة الشرقية,2024-11-01,Career@alkuhaimi.com,alkuhaimi.com,المنطقة الشرقية,['القطاع الهندسي والفني'],شهادة فنية,فني كهرباء (أبواب),خبرة سابقة في مجال الوظيفة المطلوبة,مجموعة الكحيمي,اخرى
المنطقة الشرقية,2024-11-01,Career@alkuhaimi.com,alkuhaimi.com,المنطقة الشرقية,['القطاع الهندسي والفني'],بكالوريوس,مهندس موقع,خبرة سابقة في مجال الوظيفة المطلوبة,مجموعة الكحيمي,اخرى
الرياض,2024-11-01,Career@alkuhaimi.com,alkuhaimi.com,منطقة الرياض,['القطاع الهندسي والفني'],بكالوريوس,مهندس موقع,خبرة سابقة في مجال الوظيفة المطلوبة,مجموعة الكحيمي,اخرى
جدة,2024-11-01,Career@alkuhaimi.com,alkuhaimi.com,منطقة مكة المكرمة,['القطاع الهندسي والفني'],بكالوريوس,مهندس موقع,خبرة سابقة في مجال الوظيفة المطلوبة,مجموعة الكحيمي,اخرى
الرياض,2024-11-01,career@saee.sa,saee.sa,منطقة الرياض,['التجزئة والمبيعات المباشرة'],غير محدد,كاشير,غير محدد,شركة ساعي,اخرى
جدة,2024-11-01,job123@sigmaksa.com,sigmaksa.com,منطقة مكة المكرمة,['القطاع الهندسي والفني'],دبلوم,فني ميكانيكا,سنة الى سنتين,شركة كبرى,اخرى
الرياض,2024-11-01,hrd@masarlogistics.sa,masarlogistics.sa,منطقة الرياض,['الخدمات اللوجستية والأمنية'],غير محدد,مساعد إداري,غير محدد,شركة مسار للخدمات اللوجستية,اخرى
الرياض,2024-11-01,recruitt.email@gmail.com,gmail.com,منطقة الرياض,['الإدارة والدعم الإداري'],مؤهل عملي مناسب,سكرتير,0-2 سنتين,غير محدد,اخرى
