Index,authorFollowersCount,authorName,authorProfileUrl,authorType,isRepost,postedAtISO,scrappingDate,text,timeSincePosted,url,source_file,authorHeadline,image,title,emails,email_count,links,link_count,postTime,postStatus
0,93,توظيف مستمر,https://www.linkedin.com/company/%D8%B4%D8%A7%D8%BA%D8%B1-ksa/,Company,False,2024-10-31T15:00:15.600Z,2024-11-01 14:39:14,"#جدة
 شواغر وظيفية لدى شركة دعاية و اعلان :
-صانعة و كاتبة محتوى ابداعي للسوشال ميديا، لديهم خبرة.
-مصورة جوال صور و فيديوهات، قادرة على السفر، ولديها خبرة.

الرجاء ارفاق نموذج الأعمال 
لتقديم كتابة عنوان الايميل (المدينة المسمى)
tele2030jpc@gmail.com
",21h,https://www.linkedin.com/feed/update/urn:li:activity:7257768342218846212?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7257768342218846212%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,Dcykptvkv1dUPORcQ_results,-,-,-,['tele2030jpc@gmail.com'],1,[],0,2024-10-31 15:00:15.600,Empty
1,394K,وظائف في الكويت,https://www.linkedin.com/company/%D9%88%D8%B8%D8%A7%D8%A6%D9%81-%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA---kuwait-jobs/,Company,False,2024-11-01T12:13:49.683Z,2024-11-01 14:40:19,"مطلوب سائق توصيل طلبات في الكويت براتب يبدأ من 800 دينار

للتفاصيل: https://lnkd.in/dW5BS5Sn







#وظائف #وظائف #البحرين #وظائف_البحرين #وظائف_شركات_البحرين #وظائف_البحرين_للأجانب #الإبداع #الإبداع #recruitment #وظائف #jobs #recruiting #توظيف #careers #hr #السعودية #job #search #وظائف_الشرقية #وظيفة_شاغرة #التوظيف #وظيفه #وظائف_اليوم #وظائف_الرياض #hunting #توطين #وظائف_إدارية #الرياض #طاقات #saudi #ساعد_تتساعد #riyadh #الموارد_البشرية #بنك_الرياض #جدة #عاجل #الامارات #عمان #هام #humanresources #قطر #خبر #وظائف_السعودية #الدمام #وظائف_عمان #كلمني_عربي #السلطنة #humanresources #وظيفة #اللغة #qatar #oil #work #banque #petroleum #people #الطب #energy #الطيران #amazon #development #الصحة #markets #hotels #accorhotels #hospital #الأبحاث #egypt #airlines #oilandgas #الكويت #وظائف_الكويت #وظائف_تدريس #معلمين #قطر #وظائف_قطر #وظائف_الدوحة",25m,https://www.linkedin.com/feed/update/urn:li:activity:7258088846112817152?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258088846112817152%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,Kx3OfGwvd4uy8F06J_results,-,https://media.licdn.com/dms/image/v2/D4D22AQH9zZNm4_N6wA/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1730463228500?e=1733356800&v=beta&t=zk1O_cQM1kPMKvyqicGfBAidp92UL3NFoDjLh3xeueE,-,[],0,['https://lnkd.in/dW5BS5Sn'],1,2024-11-01 12:13:49.683,Empty
2,-,Ahmed Magdi,https://www.linkedin.com/in/ACoAAEiBC7YBIX5A-ghl7MX475hmv8roDWNntf8?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAEiBC7YBIX5A-ghl7MX475hmv8roDWNntf8,Person,False,2024-11-01T12:13:14.257Z,2024-11-01 14:40:19,"مطلوب سائق توصيل طلبات في الكويت براتب يبدأ من 800 دينار

للتفاصيل: https://lnkd.in/dMy-Zndq







#وظائف #وظائف #البحرين #وظائف_البحرين #وظائف_شركات_البحرين #وظائف_البحرين_للأجانب #الإبداع #الإبداع #recruitment #وظائف #jobs #recruiting #توظيف #careers #hr #السعودية #job #search #وظائف_الشرقية #وظيفة_شاغرة #التوظيف #وظيفه #وظائف_اليوم #وظائف_الرياض #hunting #توطين #وظائف_إدارية #الرياض #طاقات #saudi #ساعد_تتساعد #riyadh #الموارد_البشرية #بنك_الرياض #جدة #عاجل #الامارات #عمان #هام #humanresources #قطر #خبر #وظائف_السعودية #الدمام #وظائف_عمان #كلمني_عربي #السلطنة #humanresources #وظيفة #اللغة #qatar #oil #work #banque #petroleum #people #الطب #energy #الطيران #amazon #development #الصحة #markets #hotels #accorhotels #hospital #الأبحاث #egypt #airlines #oilandgas #الكويت #وظائف_الكويت #وظائف_تدريس #معلمين #قطر #وظائف_قطر #وظائف_الدوحة",25m,https://www.linkedin.com/feed/update/urn:li:activity:7258088697525354496?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258088697525354496%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,Kx3OfGwvd4uy8F06J_results,منشئ محتوي رقمي,-,-,[],0,['https://lnkd.in/dMy-Zndq'],1,2024-11-01 12:13:14.257,Empty
3,3K,khalejy jobs,https://www.linkedin.com/company/jobssfinder/,Company,False,2024-11-01T12:06:08.178Z,2024-11-01 14:40:19,"Majid Al Futtaim careers in UAE for all nationalities

https://lnkd.in/dPtrawE2

#recruitment #وظائف #jobs #recruiting )#توظيف #careers #hr #السعودية #job #search #وظائف_الشرقية #وظيفة_شاغرة #التوظيف #وظيفه #وظائف_اليوم #وظائف_الرياض #hunting #توطين #وظائف_إدارية #الرياض #طاقات #saudi #ساعد_تتساعد #riyadh #الموارد_البشرية #بنك_الرياض #جدة #عاجل #الامارات #عمان #هام #humanresources #قطر #خبر #وظائف_السعودية #الدمام #وظائف_عمان #كلمني_عربي #السلطنة #humanresources #منشورات_الوظائف #كلمني_عربي #قطر #خبر #وظائف_السعودية #الدمام #ksa #وظيفة #وظائف_قطر #ابشر_توظيف #qatar #uae #linkedin #وظائف_قطر #ksa #ابشر_توظيف #وظيفة #qatar #unitedarabemirates #greentech #sustainability #alternativeenergy #economy

#macroeconomics #india #前瞻媒体 #自媒体 #unitedkingdom #carreiras #dubai #abudhabi #arabworld #middleeast #restaurants #businesstravel #hotelsandmotels #uaejobs
",32m,https://www.linkedin.com/feed/update/urn:li:activity:7258086910420508672?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258086910420508672%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,Kx3OfGwvd4uy8F06J_results,-,-,-,[],0,['https://lnkd.in/dPtrawE2'],1,2024-11-01 12:06:08.178,Empty
4,22K,jobs in uae,https://www.linkedin.com/company/job-in-uae/,Company,False,2024-11-01T12:05:46.998Z,2024-11-01 14:40:19,"New jobs in UAE Today:

1- Office Assistant jobs in Ras Al Khaimah with salary 4,000 AED

To Apply :
https://lnkd.in/grTaEyAm

2- Civil Engineering jobs in Dubai 2024

To Apply :
https://lnkd.in/gXuhqwkt

3- Sales jobs Dubai 2024 

To Apply :
https://lnkd.in/gBaEFvT6


#recruitment #وظائف #jobs #recruiting #توظيف #careers #hr #السعودية #job #search #وظائف_الشرقية #وظيفة_شاغرة #التوظيف #وظيفه #وظائف_اليوم #وظائف_الرياض #hunting #توطين #وظائف_إدارية #الرياض #طاقات #saudi #ساعد_تتساعد #riyadh #الموارد_البشرية #بنك_الرياض #جدة #عاجل #الامارات #عمان #هام #humanresources #قطر #خبر #وظائف_السعودية #الدمام #وظائف_عمان #كلمني_عربي #السلطنة #humanresources #منشورات_الوظائف #كلمني_عربي #قطر #خبر #وظائف_السعودية #الدمام #ksa #وظيفة #وظائف_قطر #ابشر_توظيف #qatar #uae #linkedin #وظائف_قطر #ksa #ابشر_توظيف #وظيفة #qatar",33m,https://www.linkedin.com/feed/update/urn:li:activity:7258086821585117184?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258086821585117184%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,Kx3OfGwvd4uy8F06J_results,-,-,-,[],0,"['https://lnkd.in/grTaEyAm', 'https://lnkd.in/gXuhqwkt', 'https://lnkd.in/gBaEFvT6']",3,2024-11-01 12:05:46.998,Empty
5,8K,jobs vacancy,https://www.linkedin.com/company/jobs-in-gulf-countries-for-everyone/,Company,False,2024-11-01T12:05:31.361Z,2024-11-01 14:40:19,"Majid Al Futtaim careers in UAE for all nationalities

https://lnkd.in/dPtrawE2

#recruitment #وظائف #jobs #recruiting )#توظيف #careers #hr #السعودية #job #search #وظائف_الشرقية #وظيفة_شاغرة #التوظيف #وظيفه #وظائف_اليوم #وظائف_الرياض #hunting #توطين #وظائف_إدارية #الرياض #طاقات #saudi #ساعد_تتساعد #riyadh #الموارد_البشرية #بنك_الرياض #جدة #عاجل #الامارات #عمان #هام #humanresources #قطر #خبر #وظائف_السعودية #الدمام #وظائف_عمان #كلمني_عربي #السلطنة #humanresources #منشورات_الوظائف #كلمني_عربي #قطر #خبر #وظائف_السعودية #الدمام #ksa #وظيفة #وظائف_قطر #ابشر_توظيف #qatar #uae #linkedin #وظائف_قطر #ksa #ابشر_توظيف #وظيفة #qatar #unitedarabemirates #greentech #sustainability #alternativeenergy #economy

#macroeconomics #india #前瞻媒体 #自媒体 #unitedkingdom #carreiras #dubai #abudhabi #arabworld #middleeast #restaurants #businesstravel #hotelsandmotels #uaejobs
",33m,https://www.linkedin.com/feed/update/urn:li:activity:7258086755998859264?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258086755998859264%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,Kx3OfGwvd4uy8F06J_results,-,-,-,[],0,['https://lnkd.in/dPtrawE2'],1,2024-11-01 12:05:31.361,Empty
6,62K,وظيفة كل ساعة,https://www.linkedin.com/company/11-daily-job/,Company,False,2024-11-01T12:00:05.176Z,2024-11-01 14:40:19,"شواغر وظيفية تعلنها مجموعة الكحيمي

وفق المسميات التالية:
🟠 مهندس مبيعات – ‎جدة 
🟠 منسق مشاريع – ‎الرياض 
🟠 فني كهرباء (أبواب) – المواقع (‎جدة، ‎الرياض، ‎المنطقة الشرقية) 
🟠 مهندس موقع – المنطقة الشرقية، الرياض، جدة 

المتطلبات : 
درجة البكالوريوس أو شهادة فنية 
خبرة سابقة في مجال الوظيفة المطلوبة
مهارات تواصل ممتازة وقدرة على العمل ضمن فريق
إجادة استخدام برامج الحاسوب ذات الصلة



للتقديم، يرجى إرسال السيرة الذاتية إلى: 
📩 Career@alkuhaimi.com 
",39m,https://www.linkedin.com/feed/update/urn:li:activity:7258085387879796736?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258085387879796736%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,Kx3OfGwvd4uy8F06J_results,-,-,-,['Career@alkuhaimi.com'],1,[],0,2024-11-01 12:00:05.176,Empty
7,706K,وظائف قطر,https://www.linkedin.com/company/qatar-careers/,Company,False,2024-11-01T11:53:45.656Z,2024-11-01 14:40:19,"شواغر في قطر برواتب تصل 15,000 ريال للعمل في مجال الفنادق (رجال - نساء)

رابط التقديم: https://lnkd.in/dT6_wNvC


تابعونا واتساب https://bit.ly/3TmvX84

تابعونا تليجرام https://bit.ly/42iNa4A



#وظائف #وظائف #البحرين #وظائف_البحرين #وظائف_شركات_البحرين #وظائف_البحرين_للأجانب #الإبداع #الإبداع #recruitment #وظائف #jobs #recruiting #توظيف #careers #hr #السعودية #job #search #وظائف_الشرقية #وظيفة_شاغرة #التوظيف #وظيفه #وظائف_اليوم #وظائف_الرياض #hunting #توطين #وظائف_إدارية #الرياض #طاقات #saudi #ساعد_تتساعد #riyadh #الموارد_البشرية #بنك_الرياض #جدة #عاجل #الامارات #عمان #هام #humanresources #قطر #خبر #وظائف_السعودية #الدمام #وظائف_عمان #كلمني_عربي #السلطنة #humanresources #وظيفة #اللغة #qatar #oil #work #banque #petroleum #people #الطب #energy #الطيران #amazon #development #الصحة #markets #hotels #accorhotels #hospital #الأبحاث #egypt #airlines #oilandgas #الكويت #وظائف_الكويت #وظائف_تدريس #معلمين #قطر #وظائف_قطر #وظائف_الدوحة",45m,https://www.linkedin.com/feed/update/urn:li:activity:7258083796057542656?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258083796057542656%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,Kx3OfGwvd4uy8F06J_results,-,https://media.licdn.com/dms/image/v2/D4D22AQEuY5heDOlcWg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1730462022473?e=1733356800&v=beta&t=TsM2fjQNI7yUgiuhlGqu7fTM_zfCSdjmtRdg5Gp5o_E,-,[],0,"['https://lnkd.in/dT6_wNvC', 'https://bit.ly/3TmvX84', 'https://bit.ly/42iNa4A']",3,2024-11-01 11:53:45.656,Empty
8,965K,Jobs In UAE,https://www.linkedin.com/company/uae-jobs2020/,Company,False,2024-11-01T12:08:29.154Z,2024-11-01 14:40:19,"وظائف شركة ماجد الفطيم في الامارات 
https://lnkd.in/dPtrawE2

#recruitment #وظائف #jobs #recruiting )#توظيف #careers #hr #السعودية #job #search #وظائف_الشرقية #وظيفة_شاغرة #التوظيف #وظيفه #وظائف_اليوم #وظائف_الرياض #hunting #توطين #وظائف_إدارية #الرياض #طاقات #saudi #ساعد_تتساعد #riyadh #الموارد_البشرية #بنك_الرياض #جدة #عاجل #الامارات #عمان #هام #humanresources #قطر #خبر #وظائف_السعودية #الدمام #وظائف_عمان #كلمني_عربي #السلطنة #humanresources #منشورات_الوظائف #كلمني_عربي #قطر #خبر #وظائف_السعودية #الدمام #ksa #وظيفة #وظائف_قطر #ابشر_توظيف #qatar #uae #linkedin #وظائف_قطر #ksa #ابشر_توظيف #وظيفة #qatar #unitedarabemirates #greentech #sustainability #alternativeenergy #economy

#macroeconomics #india #前瞻媒体 #自媒体 #unitedkingdom #carreiras #dubai #abudhabi #arabworld #middleeast #restaurants #businesstravel #hotelsandmotels #uaejobs
",30m,https://www.linkedin.com/feed/update/urn:li:activity:7258087501716701185?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258087501716701185%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,Kx3OfGwvd4uy8F06J_results,-,-,-,[],0,['https://lnkd.in/dPtrawE2'],1,2024-11-01 12:08:29.154,Empty
9,39K,توظيف قطر اليوم,https://www.linkedin.com/company/%D8%AA%D9%88%D8%B8%D9%8A%D9%81-%D9%82%D8%B7%D8%B1-%D8%A7%D9%84%D9%8A%D9%88%D9%85/,Company,False,2024-11-01T11:53:14.952Z,2024-11-01 14:40:19,"شواغر في قطر برواتب تصل 15,000 ريال للعمل في مجال الفنادق (رجال - نساء)

رابط التقديم: https://lnkd.in/dT6_wNvC


تابعونا واتساب https://bit.ly/3TmvX84

تابعونا تليجرام https://bit.ly/42iNa4A



#وظائف #وظائف #البحرين #وظائف_البحرين #وظائف_شركات_البحرين #وظائف_البحرين_للأجانب #الإبداع #الإبداع #recruitment #وظائف #jobs #recruiting #توظيف #careers #hr #السعودية #job #search #وظائف_الشرقية #وظيفة_شاغرة #التوظيف #وظيفه #وظائف_اليوم #وظائف_الرياض #hunting #توطين #وظائف_إدارية #الرياض #طاقات #saudi #ساعد_تتساعد #riyadh #الموارد_البشرية #بنك_الرياض #جدة #عاجل #الامارات #عمان #هام #humanresources #قطر #خبر #وظائف_السعودية #الدمام #وظائف_عمان #كلمني_عربي #السلطنة #humanresources #وظيفة #اللغة #qatar #oil #work #banque #petroleum #people #الطب #energy #الطيران #amazon #development #الصحة #markets #hotels #accorhotels #hospital #الأبحاث #egypt #airlines #oilandgas #الكويت #وظائف_الكويت #وظائف_تدريس #معلمين #قطر #وظائف_قطر #وظائف_الدوحة",45m,https://www.linkedin.com/feed/update/urn:li:activity:7258083667275595776?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258083667275595776%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,Kx3OfGwvd4uy8F06J_results,-,https://media.licdn.com/dms/image/v2/D4D22AQGYjhaOdZKlbQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1730461993264?e=1733356800&v=beta&t=uVkD-uhQATNZ-45WZzwlmfJkG6fnQ6GXbou2oht49r4,-,[],0,"['https://lnkd.in/dT6_wNvC', 'https://bit.ly/3TmvX84', 'https://bit.ly/42iNa4A']",3,2024-11-01 11:53:14.952,Empty
