Index,authorName,authorTelegram,channelName,date,forwardedFromUrl,forwardedTitle,linkPreview,repliedTo,scrappingDate,text,viewsCount,source_file,emails,email_count,links,link_count,postTime,postStatus
0,تجميع وظائف المدينة,https://t.me/jobsmadina,jobsmadina,2024-08-30T10:56:56+00:00,-,-,-,-,2024-11-01 14:47:25,يعلن #شركة_أقوات عن توفر شواغر وظيفية في المدينة المنورة وذلك وفقا للمسمى الوظيفي والمعلومات التالية :المسميات الوظيفية والشروط:موظف/ـة استقبالالشروط:- أن يكون المتقدم سعودي الجنسية.- يفضل وجود خبرة سابقة في مجال الاستقبال أو خدمة العملاء.- مهارات تواصل عالية وقدرة على التعامل مع الزوار بلباقة واحترافية.أخصائية جودةالشروط:- بكالوريوس في التغذية أو تخصص ذي صلة.- أن تكون المتقدمة سعودية الجنسية.- معرفة جيدة بمعايير الجودة في قطاع التغذية.- يفضل وجود خبرة سابقة في مجال الجودة أو إدارة الغذاء.المسميات الوظيفية:- موظف/ـة إستقبال.- أخصائية جودة.للتقديم للوظائف المرجو إرسال السيرة الذاتية على الإيميل الرقم التالي :hrresturant57@gmail.com,1.7K,jobsmadina_ypRmO3Cff4GrYwGi4_results,['hrresturant57@gmail.com'],1,[],0,2024-08-30 10:56:56,Empty
1,تجميع وظائف المدينة,https://t.me/jobsmadina,jobsmadina,2024-08-30T11:14:14+00:00,-,-,-,-,2024-11-01 14:47:25,بشكل عاجل 📍‏شركة رائدة في مجال التجزئة تبحث عن  ‏( اخصائية مبيعات )  بجميع مناطق المملكة ‏المتطلبات :‏- ⁠سعودية الجنسية‏- ⁠خبرة بنفس المجال لا تقل عن سنة ‏- ⁠التوظيف فوري ‏- راتب شهري + مكافأة انضباط  ‏للتقديمhttps://docs.google.com/forms/d/e/1FAIpQLSelooPrWK6XNUXV7D0-r-u3mNFBpiSkK3wfERSmeBiE99PhfQ/viewform?vc=0&c=0&w=1&flr=0&pli=1,1.8K,jobsmadina_ypRmO3Cff4GrYwGi4_results,[],0,['https://docs.google.com/forms/d/e/1FAIpQLSelooPrWK6XNUXV7D0-r-u3mNFBpiSkK3wfERSmeBiE99PhfQ/viewform?vc=0&c=0&w=1&flr=0&pli=1'],1,2024-08-30 11:14:14,Empty
2,تجميع وظائف المدينة,https://t.me/jobsmadina,jobsmadina,2024-08-30T12:24:27+00:00,-,-,-,-,2024-11-01 14:47:25,يعلن مطعم نورث ايست عن توفر فرصة وظيفية شاغرة، وذلك وفقاً للتفاصيل الآتية:المسمى الوظيفي:-كاشير ومحضر طعام. الشروط:-سعودي الجنسية أو من ابن مواطنة أو مقيم.-تحمل ضغط العمل.-اللباقة وحسن المظهر. -وجود شهادة صحية سارية.-التفرغ للعمل.للتقديم ترسل السيرة الذاتية على الإيميل، مع ذكر المسمى الوظيفي:Job@neburgers.comt.me/Jobs_Almadina',2.2K,jobsmadina_ypRmO3Cff4GrYwGi4_results,['Job@neburgers.comt.me'],1,[],0,2024-08-30 12:24:27,Empty
3,تجميع وظائف المدينة,https://t.me/jobsmadina,jobsmadina,2024-08-30T12:24:16+00:00,-,-,-,-,2024-11-01 14:47:25,يعلن مركز أطفال علماء للترفيه عن توفر فرصة وظيفية شاغرة، وذلك وفقاً للتفاصيل الآتية:المسمى الوظيفي:-مسؤولة رعاية أطفال.الشروط:-سعودية الجنسية.-مؤهل دراسي ذا صلة بالشاغر الوظيفي.-القدرة على التعامل مع الأطفال.للتقديم ترسل السيرة الذاتية على الايميل، مع ذكر المسمى الوظيفي في العنوان:Scientistskids@gmail.comt.me/Jobs_Almadina',2.1K,jobsmadina_ypRmO3Cff4GrYwGi4_results,['Scientistskids@gmail.comt.me'],1,[],0,2024-08-30 12:24:16,Empty
4,تجميع وظائف المدينة,https://t.me/jobsmadina,jobsmadina,2024-08-30T12:24:27+00:00,-,-,-,-,2024-11-01 14:47:25,"تعلن شركة أشكو للاستشارات الهندسية عن توفر فرص وظيفية شاغرة، وذلك وفقاً للتفاصيل الآتية:المسمى الوظيفي:-مهندس معماري.الشروط:-درجة التأهيل بالهيئة السعوديةللمهندسين: محترف.الاولوية لسعودي الجنسية.-خبرة في التصاميم والإخراج المعماري -إجادة العمل على البرامج الهندسية  .3D .Revit, AutoCAD.-متواجد في المدينة المنورة.للتقديم ترسل السيرة الذاتية على الإيميل، مع إرفاق نماذج للأعمال السابقة:esshco@gmail.comt.me/Jobs_Almadina'",2.3K,jobsmadina_ypRmO3Cff4GrYwGi4_results,['esshco@gmail.comt.me'],1,[],0,2024-08-30 12:24:27,Empty
5,تجميع وظائف المدينة,https://t.me/jobsmadina,jobsmadina,2024-09-03T21:23:16+00:00,-,-,-,-,2024-11-01 14:47:25,تعلن شركة الحلول النهائيه عن توفر فرص وظيفية شاغرة في المدينة المنورة، وذلك وفقاً للتفاصيل الآتية:المسميات الوظيفية:- محاسبة.- مندوبة مبيعات.- أخصائي دعم فني.الشروط: - التفرغ التام للعمل.- الجدية والانضباط في العمل.-إجادة اللغة الانجليزية.للتقديم ترسل السيرة الذاتية على الإيميل مع ذكر المسمى الوظيفي في العنوان:afnanultimate1@gmail.comt.me/Jobs_Almadina',2.5K,jobsmadina_ypRmO3Cff4GrYwGi4_results,['afnanultimate1@gmail.comt.me'],1,[],0,2024-09-03 21:23:16,Empty
6,تجميع وظائف المدينة,https://t.me/jobsmadina,jobsmadina,2024-09-03T21:48:17+00:00,-,-,-,-,2024-11-01 14:47:25,تعلن شركة ردود للخدمات اللوجستية عن توفر فرص وظيفية شاغرة، وذلك وفقاً للتفاصيل الآتية:المسمى الوظيفي:-مصمم جرافيك و UI/UX.المهام والمسؤوليات:تصميم المواد المرئية مثل الشعارات، البوسترات، والمحتوى الرقمي، بالإضافة إلى واجهات المستخدم.إجراء أبحاث مستخدمين لفهم احتياجاتهم وسلوكهم وتطبيق النتائج في التصميم.إنشاء نماذج أولية وتصميمات تفاعلية لضمان تجربة مستخدم جيدة.التعاون مع فرق التسويق والمحتوى لفهم متطلبات المشروع.إجراء اختبارات المستخدم وتحليل النتائج لتحسين التصميمات.متابعة الاتجاهات الجديدة في تصميم الجرافيك وتجربة المستخدم وتطبيقها.المتطلبات:يفضل خبرة سابقة في تصميم الجرافيك أو UI/UX  .مهارات قوية في برامج التصميم القدرة على العمل تحت الضغط لتلبية المواعيد النهائية.مهارات تواصل وتحليل جيدة.رابط التقديم:https://forms.gle/t2FNG1MU1raRB7e49وللإستفسارات:Hr@rodud.comt.me/Jobs_Almadina',2.6K,jobsmadina_ypRmO3Cff4GrYwGi4_results,['Hr@rodud.comt.me'],1,"[""https://forms.gle/t2FNG1MU1raRB7e49وللإستفسارات:Hr@rodud.comt.me/Jobs_Almadina'""]",1,2024-09-03 21:48:17,Empty
7,تجميع وظائف المدينة,https://t.me/jobsmadina,jobsmadina,2024-09-05T22:02:48+00:00,-,-,-,-,2024-11-01 14:47:25,يعلن مركز خط الطفل لضيافة الاطفال عن توفر وظائف شاغرة، وذلك وفقاً للتفاصيل الآتية:المسمى الوظيفي:-معلمة رياض أطفال.-مساعدة معلمة.الشروط:-وجود خبرة في مجال مراكز الضيافة ورياض الأطفال.-فترتين (صباحية ومسائية).-التقديم مُتاح للسعوديات و لغير السعوديات.رابط التقديم:https://docs.google.com/forms/d/e/1FAIpQLSfF-AnlHrQKFa1rXMBLFjdIgHSukqHRQjdh0o9ED5PQut4SOA/viewformt.me/Jobs_Almadina',2.2K,jobsmadina_ypRmO3Cff4GrYwGi4_results,[],0,"[""https://docs.google.com/forms/d/e/1FAIpQLSfF-AnlHrQKFa1rXMBLFjdIgHSukqHRQjdh0o9ED5PQut4SOA/viewformt.me/Jobs_Almadina'""]",1,2024-09-05 22:02:48,Empty
8,تجميع وظائف المدينة,https://t.me/jobsmadina,jobsmadina,2024-09-04T16:49:24+00:00,-,-,-,-,2024-11-01 14:47:25,‏السلام عليكم ورحمة الله‏للسعوديين فقط‏للجنسين‏ مطلوب مدير/ةمعرض لعلامة تجارية كبرى في المدينة المنورة ‏  ‏الشروط ‏-لغة انجليزية ممتازة ‏- ثانوي فأعلى ‏- خبرة سابقة ك مدير معرض أو مساعد مدير معرض ‏- يفضل شخص غير موظف حاليا ‏التواصل عن طريق إرسال السيرة الذاتية إلى ⁦ thehelperjob@gmail.com⁩ ‏وكتابة المسمى الوظيفي و الحالة الوظيفية إذا موظف حاليا أو لا في نص الرسالة .‏سيتم التواصل  مع من تنطبق عليهم الشروط المذكورة فقط‏⁧ #المدينة_المنورة⁩,2.6K,jobsmadina_ypRmO3Cff4GrYwGi4_results,['thehelperjob@gmail.com'],1,[],0,2024-09-04 16:49:24,Empty
9,تجميع وظائف المدينة,https://t.me/jobsmadina,jobsmadina,2024-09-06T09:49:41+00:00,-,-,-,-,2024-11-01 14:47:25,🔴 (وزارة الصحة) تعلن برنامج (فني رعاية مرضى) المنتهي بالتوظيف للعمل في جميع مناطق بالمملكة (للجنسين) ينتهي التقديم قريبًا.🔗 شارك الخبر عبر (واتساب):اضغط هنا◀️ للتقديم (https://ewdifh.com/jobs/79383)➖,2.3K,jobsmadina_ypRmO3Cff4GrYwGi4_results,[],0,['https://ewdifh.com/jobs/79383)➖'],1,2024-09-06 09:49:41,Empty
