authorFollowersCount,authorHeadline,authorName,authorProfileId,authorProfileUrl,authorType,image,inputUrl,isRepost,postedAtISO,postedAtTimestamp,scrappingDate,text,timeSincePosted,title,url,urn
,Senior Advisor to H.E. the Minister | Board & NRC Member | SME in HR مستشار أول للوزير | عضو مجلس إدارة | رئيس لجنة الترشيحات والمكافآت | خبير موارد بشرية,Wael Albassam وائل البسام,ACoAAALWCecBGowyptYXApFc9_kPESmOoHoiKqs,https://www.linkedin.com/in/ACoAAALWCecBGowyptYXApFc9_kPESmOoHoiKqs?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAALWCecBGowyptYXApFc9_kPESmOoHoiKqs,Person,https://media.licdn.com/dms/image/v2/D4D22AQFyYi-3FC83iA/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1730460718352?e=1733356800&v=beta&t=OjMi0GUxc0e5cTe4mg1mzaQsZ-qpHvTwes6Pw8grv6o,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T11:32:00.028Z,1730460720028,2024-11-01 14:39:24,"الفرص الوظيفية.. مثل الرحلات الجوية، ان فاتتك رحلة، فهناك بدون شك رحلة أخرى بعدها!




هل التشبيه متطابق تماما في رأيك؟ وهل الفرص جميعها متكافئة؟






#وظيفة  #وظائف  #توظيف  #عمل  #شواغر  #ترقية  #السعودية #المملكة  #الرياض #جدة  #مكة  #الدمام  #الخبر  #المدينة  #حائل #ابها  #القصيم  #عنيزة  #بريدة #مجلس_الادارة #لجنة_الترشيحات_والمكافآت 
‏   #saudi_arabia 
‏#saudi_jobs #saudi 
‏#nrc #bod #Board_of_directors
‏ #KSA #KSAjobs 
‏#vision2030 
‏#nomination_committee 
‏#remuneration_committee
‏#work_environment 
#بيئة_العمل
#نصائح #خبرات #تجارب #خريجين #باحثين_عن_عمل 

#لينكدان #لينكد_ان 
‏#LinkedIn",1h,,https://www.linkedin.com/feed/update/urn:li:activity:7258078319856812032?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258078319856812032%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258078319856812032
97K,,Hires Me | وظفني,hiresmeai,https://www.linkedin.com/company/hiresmeai/,Company,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T11:00:12.138Z,1730458812138,2024-11-01 14:39:24,"‏توظيف فوري 

- سكرتير
‏
الرياض، المدينة الصناعية الثانية

المتطلبات:
• مؤهل عملي مناسب يفضل خريج لغة انجليزية
• ⁠خبرة في ترتيب الاجتماعات وجدولتها 
• ⁠الخبرة 0-2 سنتين
• ⁠السكن في جنوب او شرق الرياض
• ⁠مهارات تواصل عالية 
• ⁠التحدث باللغة الإنجليزية بطلاقة مهم جدًا

للتقديم:
‏في حال تطابقت الشروط يرجى ارسال السيرة الذاتية على الايميل مع ذكر المسمى الوظيفي في العنوان:
⁦ recruitt.email@gmail.com


#الرياض #الدمام #جدة
#Saudi #وظائف_شاغرة #وظائف #وظيفة #السعودية 
----------------------------------------------------------
خدمة ارسال سيرتك الذاتية الى 3000 شركات التوظيف 
www.hiresme.ai",1h,,https://www.linkedin.com/feed/update/urn:li:activity:7258070317586112512?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258070317586112512%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258070317586112512
,اخصائي موارد بشرية في جمعية المدينة للتوحد hr,Rana Eid,ACoAAE1g5lIBiFuPEV_vdgb_uIa3lc3wk14LNJY,https://www.linkedin.com/in/ACoAAE1g5lIBiFuPEV_vdgb_uIa3lc3wk14LNJY?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAE1g5lIBiFuPEV_vdgb_uIa3lc3wk14LNJY,Person,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T09:45:25.496Z,1730454325496,2024-11-01 14:39:24,"مرحبًا بالجميع. أبحث عن وظيفة جديدة وسأكون ممتنًا لدعمكم. إذا سمعتم عن أي فرص مهنية أو إذا كنتم ترغبون فقط في الاطلاع على آخر المستجدات، فيُرجى إرسال رسالة أو كتابة تعليق أدناه. أرغب في التواصل معكم مجددًا. #OpenToWork

معلومات حولي وحول ما أبحث عنه:
💼 أبحث عن وظائف الموارد البشرية.
🌎 أنا متاح للتواصل بشأن الوظائف في Medina.
⭐ لقد عملتُ سابقًا في جمعية المدينة للتوحد (تَمَكُّنْ).",2h,Rana is open to work,https://www.linkedin.com/feed/update/urn:li:activity:7258051499245584384?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258051499245584384%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258051499245584384
,Job Coach at Freelancer,وظيفة اونلاين,ACoAAFEMXS8BlakCf6rHb-UJO1wYlI8tWdMSm4o,https://www.linkedin.com/in/ACoAAFEMXS8BlakCf6rHb-UJO1wYlI8tWdMSm4o?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAFEMXS8BlakCf6rHb-UJO1wYlI8tWdMSm4o,Person,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T03:21:28.892Z,1730431288892,2024-11-01 14:39:24,"وظائف خالية

مشرفة فروع بشركة في الاحساء

يوجد شاغر وظيفي نسائي بمسمى مشرفة فروع في مدينة الاحساء وفق التفاصيل التالية:• سعودية الجنسية• خبره في ادارة الفروع• التفرغ الكامل للوظيفة• رخصة سياقة + توفر مواصلاتللتقديم الرجاء ارسال السيرة الذاتية  مع كتابة  اسم الوظيفة + المدينة على رقم واتس...

https://lnkd.in/eXZ63dw8

#وظائف_السعودية

وظائف_السعودية 

#وظائف #وظائف_خالية #وظيفة #وظيفة_اونلاين #وظائف_مصر #وظائف_السعودية #وظائف_مشرفة فروع بشركة في الاحساء #وظائف_السعودية ",9h,مشرفة فروع بشركة في الاحساء,https://www.linkedin.com/feed/update/urn:li:activity:7257954876725325824?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7257954876725325824%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7257954876725325824
6K,,توظيف السعودية | SAUDI HIRING,saudihiring,https://www.linkedin.com/company/saudihiring/,Company,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-10-31T21:25:01.039Z,1730409901039,2024-11-01 14:39:24,"‏مطلوب للعمل في مصنع في المدينة الصناعية بالخرج:

⬅️ المشتريات
🌑 الخرج
🔴 سعودي


‏الشروط:

- ‏سعودي الجنسية
- ‏بكالوريوس 
- ‏من سكان محافظة الخرج


للتقديم:

‏الرجاء ارسال السيرة ذاتية على الايميل مع كتابه المسمى الوظيفي بالعنوان : 

‏‌ HR.salleh4@gmail.com

📌 انضم الي مجموعتنا علي التيليجرام لمزيد من الشواغر الوظيفية
🔗 (https://lnkd.in/dC2C8PGz)
#وظيفة #توظيف #الخبر #السعودية #المجتمع_الوظيفي #شواغر #الدمام",15h,,https://www.linkedin.com/feed/update/urn:li:activity:7257865169567895552?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7257865169567895552%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7257865169567895552
97K,,Hires Me | وظفني,hiresmeai,https://www.linkedin.com/company/hiresmeai/,Company,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T11:00:10.693Z,1730458810693,2024-11-01 14:39:24,"شاغر وظيفي لمصنع نسائي في الرياض بمسمى‏
- عاملة انتاج
الرياض 

‏الشروط والمؤهلات:
• مؤهل ثانوي فما فوق
• ⁠الراتب :٤٧٢٥ ريال يومين أوف
• ⁠الموقع : ( الرياض )  المدينة الصناعية الثانية 

‏للتقديم:
 يرسل السيرة الذاتية على الايميل التالي وكتابة المسمى الوظيفي:
‏⁦ 
Jobs@arabianoud.com.sa


#الرياض #الدمام #جدة
#Saudi #وظائف_شاغرة #وظائف #وظيفة #السعودية 
----------------------------------------------------------
خدمة ارسال سيرتك الذاتية الى 3000 شركات التوظيف 
www.hiresme.ai",1h,,https://www.linkedin.com/feed/update/urn:li:activity:7258070311525384192?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258070311525384192%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258070311525384192
2K,,تبي وظيفة,%D8%AA%D8%A8%D9%8A-%D9%88%D8%B8%D9%8A%D9%81%D8%A9,https://www.linkedin.com/company/%D8%AA%D8%A8%D9%8A-%D9%88%D8%B8%D9%8A%D9%81%D8%A9/,Company,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-10-31T19:27:46.116Z,1730402866116,2024-11-01 14:39:24,"#وظائف_شاغرة (🔴)

مركز أيدي أمينة للرعاية النهارية يوفر #وظائف بمجال تعليمي وطبي في المدينة المنورة⭐️

- الفرص الوظيفية :
-معلمة تربية خاصة.
-أخصائية علاج طبيعي.
-أخصائية علاج وظيفي.

للتقديم على الوظائف الشاغرة فى مركز ايدى أمينة للرعاية النهارية فضلاَ إرفاق السيرة وإرسالها على  الواتس اب: 0566875011 / 0560056730",17h,,https://www.linkedin.com/feed/update/urn:li:activity:7257835662962212864?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7257835662962212864%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7257835662962212864
,اخصائي موارد بشرية في جمعية المدينة للتوحد hr,Rana Eid,ACoAAE1g5lIBiFuPEV_vdgb_uIa3lc3wk14LNJY,https://www.linkedin.com/in/ACoAAE1g5lIBiFuPEV_vdgb_uIa3lc3wk14LNJY?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAE1g5lIBiFuPEV_vdgb_uIa3lc3wk14LNJY,Person,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T09:25:10.964Z,1730453110964,2024-11-01 14:39:24,أنا سعيد أن أشارك معكم أنني بدأت وظيفة جديدة كـ اخصائي موارد بشرية لدى ⁦⁩جمعية المدينة للتوحد (تَمَكُّنْ)!,3h,,https://www.linkedin.com/feed/update/urn:li:activity:7258046405129170944?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258046405129170944%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258046405129170944
,Senior Advisor to H.E. the Minister | Board & NRC Member | SME in HR مستشار أول للوزير | عضو مجلس إدارة | رئيس لجنة الترشيحات والمكافآت | خبير موارد بشرية,Wael Albassam وائل البسام,ACoAAALWCecBGowyptYXApFc9_kPESmOoHoiKqs,https://www.linkedin.com/in/ACoAAALWCecBGowyptYXApFc9_kPESmOoHoiKqs?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAALWCecBGowyptYXApFc9_kPESmOoHoiKqs,Person,https://media.licdn.com/dms/image/v2/D4D22AQGG7wbrkCP0kA/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1730397761026?e=1733356800&v=beta&t=J1T1Ezo7HHA3U3Ls2bt0w5tWQCYMKWIQ4ShV6pUElG8,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-10-31T18:02:41.933Z,1730397761933,2024-11-01 14:39:24,"مفهوم جديد في الموارد البشرية يسمى "" الموارد البشرية الخضراء "" فهل نعرف جميعا ما يتضمنه هذا المفهوم:


الموارد البشرية الخضراء تشير إلى مجموعة من السياسات والممارسات التي تهدف إلى تعزيز الاستدامة البيئية داخل المؤسسات من خلال إدارة العنصر البشري. تشمل هذه المفاهيم:

- التوظيف الأخضر: اختيار موظفين يتبنون القيم البيئية ويكون لديهم وعي بممارسات الاستدامة.

- التدريب والتطوير: توفير برامج تدريبية لرفع مستوى الوعي البيئي لدى الموظفين وتعليمهم كيفية المساهمة في تحقيق الأهداف البيئية للمؤسسة.

- التحفيز والمكافآت: تشجيع الموظفين على تبني سلوكيات صديقة للبيئة من خلال تقديم مكافآت أو حوافز.

- ثقافة العمل: خلق بيئة عمل تشجع على الابتكار والاستدامة، وتعزز من أهمية الحفاظ على البيئة في جميع جوانب العمل.

- المسؤولية الاجتماعية: تعزيز دور الشركات في المجتمع من خلال مبادرات بيئية تؤثر إيجابيًا على المجتمع المحلي.

وتهدف الموارد البشرية الخضراء إلى دمج الاستدامة في جميع جوانب العمل، مما يسهم في تحسين الأداء البيئي للمؤسسة ويعزز من سمعتها في السوق.






#وظيفة  #وظائف  #توظيف  #عمل  #شواغر  #ترقية  #السعودية #المملكة  #الرياض #جدة  #مكة  #الدمام  #الخبر  #المدينة  #حائل #ابها  #القصيم  #عنيزة  #بريدة #مجلس_الادارة #لجنة_الترشيحات_والمكافآت 
‏   #saudi_arabia 
‏#saudi_jobs #saudi 
‏#nrc #bod #Board_of_directors
‏ #KSA #KSAjobs 
‏#vision2030 
‏#nomination_committee 
‏#remuneration_committee
‏#work_environment 
#بيئة_العمل
#نصائح #خبرات #تجارب #خريجين #باحثين_عن_عمل 

#لينكدان #لينكد_ان 
‏#LinkedIn",18h,,https://www.linkedin.com/feed/update/urn:li:activity:7257814254467108865?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7257814254467108865%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7257814254467108865
2K,,وظائف محاسبة و مالية 💰🇸🇦,ksaaccountjobs,https://www.linkedin.com/company/ksaaccountjobs/,Company,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-10-31T17:49:12.023Z,1730396952023,2024-11-01 14:39:24,"(🟠) 20 وظيفة شاغرة في عدة مدن برواتب تنافسية لدى شركة الجميل العالمية 

▪️ محاسب عام  
📍مكان العمل: #المدينة #مكة #الطائف #جازان #الرياض #جدة #عسير 

🔗 للتقديم ( https://lnkd.in/et-W5eQg)
➖",18h,,https://www.linkedin.com/feed/update/urn:li:activity:7257810857458286592?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7257810857458286592%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7257810857458286592
