authorFollowersCount,authorHeadline,authorName,authorProfileId,authorProfileUrl,authorType,image,inputUrl,isRepost,postedAtISO,postedAtTimestamp,scrappingDate,text,timeSincePosted,title,url,urn
,خدمات تصميم سيرة ذاتية ATS في تصميم جرافيك المصممة نوف | لاننا ندرك صعوبة الحصول على فرصة عمل ممتازه نحن لكم لتصميم وتنسيق السيرة الذاتية عن طريق تصاميم الانفوجرافيك تصاميم سيره احترافيه بنظام ATS 👇,تصميم سيرة ذاتية/ ATSCV,ACoAAFRe2Z0BtNl8MxGGEU_Htk1_BzFKRzXdBms,https://www.linkedin.com/in/ACoAAFRe2Z0BtNl8MxGGEU_Htk1_BzFKRzXdBms?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAFRe2Z0BtNl8MxGGEU_Htk1_BzFKRzXdBms,Person,https://media.licdn.com/dms/image/v2/D4E22AQEb8yWnIOfhiQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1730478306489?e=1733356800&v=beta&t=Qwg3_npCPcGqNPdyUXxsqWUICTaiMVJ0zsj8r3SCras,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T16:25:07.539Z,1730478307539,2024-11-01 18:26:50,"✍🏽
‎أقدم خدمة تصميم سير ذاتية احترافية باسعار رمزيه جداً ومتوافقة مع أنظمة تتبع المتقدمين
 (ATS) 
لضمان اجتياز الفلاتر الإلكترونية وجذب انتباه مسؤولي التوظيف. 
خدمتي مصممة لإبراز نقاط قوتك وزيادة فرصك في الحصول على مقابلات عمل.

‎تواصل معي لمزيد من التفاصيل حول كيفية مساعدتك في إنشاء سيرة ذاتية ناجحة!
تضمن وصولها لل HR ♥️

**ATS CV Creator | Helping Job Seekers Stand Out with Optimized Resumes**

I specialize in creating professional CVs optimized for Applicant Tracking Systems (ATS), ensuring they pass automated filters and attract the attention of hiring managers. My service is designed to showcase your strengths and increase your chances of landing job interviews. 

Contact me for more information on how I can help you create a winning resume!!!

#الإردن #السعودية #الرياض

#Careers #Markets #Startups #Marketing #SocialMedia #buna #VentureCapital #SocialNetworking #LeanStartups #Economyngautomation #bankingoperations #businessandmanagement #marketinganalytics #marketingcareers #marketingagency #vision #visionaryleadership #visionboard #newspace #newsflash #newstoday #tipsandadvice #visionarythinking #growthmindset #investing #investmentmanagement #investmentbanking #investmentideas #investmentoptions #marketingagency #digitalmarketingtips #economicgrowth #growthmarketing #growthstrategy #telemony #enterprenuership #growthopportunities #financegrowth #customerservicerepresentative #teambuilding #company #helpingpeople #strategicplanning #Financial #Netprofit #Net_profit #Assets #saudiarabia #saudibusiness #وظيفية #وظيفة_شاغرة #التوظيف #وظيفه #وظائف_اليوم ‬ #فرص_وظيفية #Ksa #عاجل #وظائف #الرياض #العمل #الخرج #شركة #السيرة_الذاتية
#جدة #المدينة #الدمام #توظيف #LinkedIn #وظيفة #توظيف #شركات #العاطلين_عن_العمل #شاغر #وظيفة #موظفين  #السعودية #وظائف_السعودية #النساء #للنساء #شاغر #شاغر_وظيفي",1m,,https://www.linkedin.com/feed/update/urn:li:activity:7258152087224553472?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258152087224553472%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258152087224553472
38K,,Latifa Al-Shahrani,ameena-al-qahtani,https://www.linkedin.com/company/ameena-al-qahtani/,Company,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T15:00:05.367Z,1730473205367,2024-11-01 18:26:50," مكتب زاد الإيمان للسفر والسياحة - وظيفة نسائية براتب يقارب 5000 ريال بدوام جزئي:

🔹 المسمى الوظيفي: مراقب مالي

🔹 مكان العمل: #المدينة

🔹 الوصف الوظيفي: المراقب المالي سيتولى مراقبة التدفقات المالية للمكتب، بما في ذلك الإشراف على النفقات والإيرادات، إعداد تقارير مالية دقيقة وتقديمها للإدارة. كما ستشمل المهام التأكد من الالتزام بالمعايير المالية والمحاسبية، والعمل على تحسين العمليات المالية لتوفير التكلفة وتعزيز الكفاءة.

🔹 المتطلبات:

شهادة في المحاسبة أو المالية أو مجال ذي صلة.

قدرة تحليلية قوية ودقة في التعامل مع الأرقام.

مهارات تنظيمية عالية وقدرة على العمل تحت ضغط.


🔗 رابط التقديم: https://lnkd.in/ehr2xMFt",1h,,https://www.linkedin.com/feed/update/urn:li:activity:7258130687164121088?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258130687164121088%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258130687164121088
,Medical student at Sudan International University,Mohamed khalaf alla,ACoAABbGKZQBQOrKGyKdVXtThGnBrBhk3F6LWkA,https://www.linkedin.com/in/ACoAABbGKZQBQOrKGyKdVXtThGnBrBhk3F6LWkA?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABbGKZQBQOrKGyKdVXtThGnBrBhk3F6LWkA,Person,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T14:13:27.787Z,1730470407787,2024-11-01 18:26:50,"معًا نستطيع أن نحقق أكثر مما نتخيله، بتعاوننا، بتشاركنا للفرص، وبمساعدة بعضنا البعض على إيجاد الطريق الصحيح في سوق العمل السعودي. دعونا نضع أيدينا في أيدي بعض، ونسهم في فتح أبواب الرزق والفرص لكل زميل وزميلة. 🤝

🔑 القواعد الذهبية التي ستضمن نجاحنا جميعًا في هذه المجموعات:

1. الالتزام بمواضيع المجموعة:  
   هذه المجموعات مخصصة فقط لمشاركة الوظائف المتاحة للأطباء والكوادر الصحية السودانيين في المدينة المحددة والمناطق المجاورة. شارك الفرصة حتى وإن لم تكن مناسبة لك، فقد تكون كنزًا لزميل آخر

2. التعاون هو سر النجاح:  
   كل وظيفة تُنشر هنا قد تكون شريان حياة لأحدنا. لا تبخل بالمعلومة، فقد تكون سببًا في إسعاد أسرة.

3. الاحترام المتبادل:  
   النقاشات هنا يجب أن تكون بناءة ومحترمة. نحن هنا لدعم بعضنا البعض وليس لإثارة الجدل.

4. نشر معلومات دقيقة وموثوقة:  
   قبل أن تشارك أي فرصة، تأكد من دقتها وصحتها. الأمانة هي مفتاح النجاح.

5. الفرص للجميع:  
   حتى لو لم تكن الوظيفة تناسبك، شاركها في المجموعة. تذكر أن الخير الذي تقدمه سيعود إليك.

6. عدم تكرار الإعلانات:  
   لا حاجة لنشر نفس الإعلان أكثر من مرة في اليوم. دعنا ننظم المحتوى لنحقق أقصى فائدة للجميع.

🌍 روابط المجموعات حسب المدينة:

1. الرياض:  
   فرص عمل للأطباء والكوادر الصحية السودانيين في الرياض وما حولها.  
   [انضم هنا](https://lnkd.in/g2aJVWdS)

2. جدة:  
   فرص عمل للأطباء والكوادر الصحية السودانيين في جدة وما حولها.  
   [انضم هنا](https://lnkd.in/g-NDJsbh)

3. الدمام والخبر:  
   وظائف في المنطقة الشرقية (الدمام، الخبر، الظهران، الجبيل).  
   [انضم هنا](https://lnkd.in/g4bvY8Pp)

4. مكة المكرمة:  
   وظائف في مكة المكرمة وما حولها.  
   [انضم هنا](https://lnkd.in/gWWn_gsN)

5. المدينة المنورة:  
   فرص عمل في المدينة المنورة وما حولها.  
   [انضم هنا](https://lnkd.in/gWwMh9Ea)

6. أبها:  
   وظائف في منطقة أبها وخميس مشيط.  
   [انضم هنا](https://lnkd.in/g-ajhDjv)

7. تبوك:  
   فرص عمل للأطباء والكوادر الصحية السودانيين في تبوك.  
   [انضم هنا](https://lnkd.in/gnWPijGk)

8. الطائف:  
   فرص عمل في الطائف وما حولها.  
   [انضم هنا](https://lnkd.in/grbsaSCi)

9. القصيم:  
   وظائف في منطقة القصيم (بريدة، عنيزة).  
   [انضم هنا](https://lnkd.in/gY3TaT8F)

10. الأحساء:  
    فرص عمل في الأحساء وما حولها.  
    [انضم هنا](https://lnkd.in/gAmvTapy)

11. حائل:  
    وظائف للأطباء والكوادر الصحية في حائل.  
    [انضم هنا](https://lnkd.in/gbYJu8yp)

12. نجران:  
    فرص عمل في منطقة نجران.  
    [انضم هنا](https://lnkd.in/gyEi-KTJ)

13. جازان:  
    وظائف في جازان وما حولها.  
    [انضم هنا](https://lnkd.in/gsgC7kDv)

📌 ملاحظات هامة:
- تذكر أن مساعدتك لزميلك اليوم قد تكون سببًا في مساعدتك غدًا.
ارجو مشاركة المنشور مع مجموعات الأطباء والكوادر الصحية داخل المملكة",2h,,https://www.linkedin.com/feed/update/urn:li:activity:7258118953263116289?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258118953263116289%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258118953263116289
,Senior Advisor to H.E. the Minister | Board & NRC Member | SME in HR مستشار أول للوزير | عضو مجلس إدارة | رئيس لجنة الترشيحات والمكافآت | خبير موارد بشرية,Wael Albassam وائل البسام,ACoAAALWCecBGowyptYXApFc9_kPESmOoHoiKqs,https://www.linkedin.com/in/ACoAAALWCecBGowyptYXApFc9_kPESmOoHoiKqs?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAALWCecBGowyptYXApFc9_kPESmOoHoiKqs,Person,https://media.licdn.com/dms/image/v2/D4D22AQFyYi-3FC83iA/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1730460718352?e=1733356800&v=beta&t=OjMi0GUxc0e5cTe4mg1mzaQsZ-qpHvTwes6Pw8grv6o,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T11:32:00.028Z,1730460720028,2024-11-01 18:26:50,"الفرص الوظيفية.. مثل الرحلات الجوية، ان فاتتك رحلة، فهناك بدون شك رحلة أخرى بعدها!




هل التشبيه متطابق تماما في رأيك؟ وهل الفرص جميعها متكافئة؟






#وظيفة  #وظائف  #توظيف  #عمل  #شواغر  #ترقية  #السعودية #المملكة  #الرياض #جدة  #مكة  #الدمام  #الخبر  #المدينة  #حائل #ابها  #القصيم  #عنيزة  #بريدة #مجلس_الادارة #لجنة_الترشيحات_والمكافآت 
‏   #saudi_arabia 
‏#saudi_jobs #saudi 
‏#nrc #bod #Board_of_directors
‏ #KSA #KSAjobs 
‏#vision2030 
‏#nomination_committee 
‏#remuneration_committee
‏#work_environment 
#بيئة_العمل
#نصائح #خبرات #تجارب #خريجين #باحثين_عن_عمل 

#لينكدان #لينكد_ان 
‏#LinkedIn",4h,,https://www.linkedin.com/feed/update/urn:li:activity:7258078319856812032?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258078319856812032%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258078319856812032
97K,,Hires Me | وظفني,hiresmeai,https://www.linkedin.com/company/hiresmeai/,Company,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T11:00:12.138Z,1730458812138,2024-11-01 18:26:50,"‏توظيف فوري 

- سكرتير
‏
الرياض، المدينة الصناعية الثانية

المتطلبات:
• مؤهل عملي مناسب يفضل خريج لغة انجليزية
• ⁠خبرة في ترتيب الاجتماعات وجدولتها 
• ⁠الخبرة 0-2 سنتين
• ⁠السكن في جنوب او شرق الرياض
• ⁠مهارات تواصل عالية 
• ⁠التحدث باللغة الإنجليزية بطلاقة مهم جدًا

للتقديم:
‏في حال تطابقت الشروط يرجى ارسال السيرة الذاتية على الايميل مع ذكر المسمى الوظيفي في العنوان:
⁦ recruitt.email@gmail.com


#الرياض #الدمام #جدة
#Saudi #وظائف_شاغرة #وظائف #وظيفة #السعودية 
----------------------------------------------------------
خدمة ارسال سيرتك الذاتية الى 3000 شركات التوظيف 
www.hiresme.ai",5h,,https://www.linkedin.com/feed/update/urn:li:activity:7258070317586112512?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258070317586112512%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258070317586112512
,اخصائي موارد بشرية في جمعية المدينة للتوحد hr,Rana Eid,ACoAAE1g5lIBiFuPEV_vdgb_uIa3lc3wk14LNJY,https://www.linkedin.com/in/ACoAAE1g5lIBiFuPEV_vdgb_uIa3lc3wk14LNJY?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAE1g5lIBiFuPEV_vdgb_uIa3lc3wk14LNJY,Person,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T09:45:25.496Z,1730454325496,2024-11-01 18:26:50,"مرحبًا بالجميع. أبحث عن وظيفة جديدة وسأكون ممتنًا لدعمكم. إذا سمعتم عن أي فرص مهنية أو إذا كنتم ترغبون فقط في الاطلاع على آخر المستجدات، فيُرجى إرسال رسالة أو كتابة تعليق أدناه. أرغب في التواصل معكم مجددًا. #OpenToWork

معلومات حولي وحول ما أبحث عنه:
💼 أبحث عن وظائف الموارد البشرية.
🌎 أنا متاح للتواصل بشأن الوظائف في Medina.
⭐ لقد عملتُ سابقًا في جمعية المدينة للتوحد (تَمَكُّنْ).",6h,Rana is open to work,https://www.linkedin.com/feed/update/urn:li:activity:7258051499245584384?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258051499245584384%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258051499245584384
,Job Coach at Freelancer,وظيفة اونلاين,ACoAAFEMXS8BlakCf6rHb-UJO1wYlI8tWdMSm4o,https://www.linkedin.com/in/ACoAAFEMXS8BlakCf6rHb-UJO1wYlI8tWdMSm4o?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAFEMXS8BlakCf6rHb-UJO1wYlI8tWdMSm4o,Person,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T03:21:28.892Z,1730431288892,2024-11-01 18:26:50,"وظائف خالية

مشرفة فروع بشركة في الاحساء

يوجد شاغر وظيفي نسائي بمسمى مشرفة فروع في مدينة الاحساء وفق التفاصيل التالية:• سعودية الجنسية• خبره في ادارة الفروع• التفرغ الكامل للوظيفة• رخصة سياقة + توفر مواصلاتللتقديم الرجاء ارسال السيرة الذاتية  مع كتابة  اسم الوظيفة + المدينة على رقم واتس...

https://lnkd.in/eXZ63dw8

#وظائف_السعودية

وظائف_السعودية 

#وظائف #وظائف_خالية #وظيفة #وظيفة_اونلاين #وظائف_مصر #وظائف_السعودية #وظائف_مشرفة فروع بشركة في الاحساء #وظائف_السعودية ",13h,مشرفة فروع بشركة في الاحساء,https://www.linkedin.com/feed/update/urn:li:activity:7257954876725325824?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7257954876725325824%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7257954876725325824
6K,,توظيف السعودية | SAUDI HIRING,saudihiring,https://www.linkedin.com/company/saudihiring/,Company,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-10-31T21:25:01.039Z,1730409901039,2024-11-01 18:26:50,"‏مطلوب للعمل في مصنع في المدينة الصناعية بالخرج:

⬅️ المشتريات
🌑 الخرج
🔴 سعودي


‏الشروط:

- ‏سعودي الجنسية
- ‏بكالوريوس 
- ‏من سكان محافظة الخرج


للتقديم:

‏الرجاء ارسال السيرة ذاتية على الايميل مع كتابه المسمى الوظيفي بالعنوان : 

‏‌ HR.salleh4@gmail.com

📌 انضم الي مجموعتنا علي التيليجرام لمزيد من الشواغر الوظيفية
🔗 (https://lnkd.in/dC2C8PGz)
#وظيفة #توظيف #الخبر #السعودية #المجتمع_الوظيفي #شواغر #الدمام",19h,,https://www.linkedin.com/feed/update/urn:li:activity:7257865169567895552?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7257865169567895552%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7257865169567895552
97K,,Hires Me | وظفني,hiresmeai,https://www.linkedin.com/company/hiresmeai/,Company,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-11-01T11:00:10.693Z,1730458810693,2024-11-01 18:26:50,"شاغر وظيفي لمصنع نسائي في الرياض بمسمى‏
- عاملة انتاج
الرياض 

‏الشروط والمؤهلات:
• مؤهل ثانوي فما فوق
• ⁠الراتب :٤٧٢٥ ريال يومين أوف
• ⁠الموقع : ( الرياض )  المدينة الصناعية الثانية 

‏للتقديم:
 يرسل السيرة الذاتية على الايميل التالي وكتابة المسمى الوظيفي:
‏⁦ 
Jobs@arabianoud.com.sa


#الرياض #الدمام #جدة
#Saudi #وظائف_شاغرة #وظائف #وظيفة #السعودية 
----------------------------------------------------------
خدمة ارسال سيرتك الذاتية الى 3000 شركات التوظيف 
www.hiresme.ai",5h,,https://www.linkedin.com/feed/update/urn:li:activity:7258070311525384192?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7258070311525384192%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7258070311525384192
2K,,تبي وظيفة,%D8%AA%D8%A8%D9%8A-%D9%88%D8%B8%D9%8A%D9%81%D8%A9,https://www.linkedin.com/company/%D8%AA%D8%A8%D9%8A-%D9%88%D8%B8%D9%8A%D9%81%D8%A9/,Company,,https://www.linkedin.com/search/results/content/?datePosted=past-24h&keywords=المدينة وظيفة&sortBy=%22date_posted%22,False,2024-10-31T19:27:46.116Z,1730402866116,2024-11-01 18:26:50,"#وظائف_شاغرة (🔴)

مركز أيدي أمينة للرعاية النهارية يوفر #وظائف بمجال تعليمي وطبي في المدينة المنورة⭐️

- الفرص الوظيفية :
-معلمة تربية خاصة.
-أخصائية علاج طبيعي.
-أخصائية علاج وظيفي.

للتقديم على الوظائف الشاغرة فى مركز ايدى أمينة للرعاية النهارية فضلاَ إرفاق السيرة وإرسالها على  الواتس اب: 0566875011 / 0560056730",20h,,https://www.linkedin.com/feed/update/urn:li:activity:7257835662962212864?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7257835662962212864%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29,urn:li:activity:7257835662962212864
