authorName,authorTelegram,channelName,date,id,linkPreview,scrappingDate,text,viewsCount
منصة ترس | JOBS,https://t.me/Taras_saudi,Taras_saudi,2024-10-31T15:59:58+00:00,9958,"منصة ترس السعودية
  
  شركة محاماه واستشارات قانونية تبحث عن مدير الخدمات القانونية - منصة ترس السعودية
  متطلبات الوظيفه: ان يكون لديه خبره تطبيقيه لا تقل عن 10 في اعمال المحاماة والاستشارات القانونية ان يكون لديه فهم واسع وشامل للقوانين والمام باللوائح والتشريعات",2024-11-06 00:54:00,شركة محاماه واستشارات قانونية تبحث عن مدير الخدمات القانونيةمتطلبات الوظيفه:- ان يكون لديه خبره تطبيقيه لا تقل عن 10 في اعمال المحاماة والاستشارات القانونية- ان يكون لديه فهم واسع وشامل للقوانين والمام باللوائح والتشريعاتللتقديم : (https://tarasjobs.com/job/956/)انشر سيرتك الذاتية عند 3000 شركة :Tarasksa.com,3.5K
منصة ترس | JOBS,https://t.me/Taras_saudi,Taras_saudi,2024-10-31T15:41:27+00:00,9950,"منصة ترس السعودية
  
  نبحث عن صانع محتوى محترف في مجاله ويتمتع بالشغف والإبداع لتقديم أفكار خارج الصندوق قادرة على صناعة محتوى جذاب ومؤثر عبر مختلف المنصات…
  الشروط : شهادة بكالوريوس في التسويق أو ما يعادلها. تصوير وتحرير الفيديوهات وصناعة المحتوى (مطلب أساسي). إعداد وصناعة محتوى إبداعي لمنصات التواصل الاجتماعي (إنستغرام – تيك توك – سناب شات – لينكد إن – فيسبوك – يوتيوب – المتجر الإلكتروني). خبرة في صناعة المحتوى…",2024-11-06 00:54:00,نبحث عن صانع محتوى محترف في مجاله ويتمتع بالشغف والإبداع لتقديم أفكار خارج الصندوق قادرة على صناعة محتوى جذاب ومؤثر عبر مختلف المنصات الإلكترونيةالشروط :- شهادة بكالوريوس في التسويق أو ما يعادلها.- تصوير وتحرير الفيديوهات وصناعة المحتوى (مطلب أساسي).- إعداد وصناعة محتوى إبداعي لمنصات التواصل الاجتماعي (إنستغرام – تيك توك – سناب شات – لينكد إن – فيسبوك – يوتيوب – المتجر الإلكتروني).- خبرة في صناعة المحتوى لا تقل عن 3 سنوات في المجال.…للتقديم : (https://tarasjobs.com/job/949/)انشر سيرتك الذاتية عند 3000 شركة :Tarasksa.com,2.9K
منصة ترس | JOBS,https://t.me/Taras_saudi,Taras_saudi,2024-10-31T15:53:40+00:00,9955,"منصة ترس السعودية
  
  شاغر وظيفي للمهندسين والمهندسات السعوديين في شركة كبرى مجالها الانشاءات والمقاولات - منصة ترس السعودية
  الشروط : التخصص ميكانيكا وكهرباء ومدني ومعماري اللغة: ممتازة المؤهل بكالوريوس الجنسية سعودي",2024-11-06 00:54:00,شاغر وظيفي للمهندسين والمهندسات السعوديين في شركة كبرى مجالها الانشاءات والمقاولاتالشروط :- التخصص ميكانيكا وكهرباء ومدني ومعماري- اللغة: ممتازة- المؤهل بكالوريوس- الجنسية سعوديللتقديم : (https://tarasjobs.com/job/953/)انشر سيرتك الذاتية عند 3000 شركة :Tarasksa.com,2.6K
منصة ترس | JOBS,https://t.me/Taras_saudi,Taras_saudi,2024-10-31T15:57:57+00:00,9957,"منصة ترس السعودية
  
  شركه تبحث عن موظفين في حسب الشواغر الاتيه - منصة ترس السعودية
  منسق/ه ورد خبره لا تقل عن سنه مشرف/ه مبيعات خبره لا تقل عن سنتين",2024-11-06 00:54:00,شركه تبحث عن موظفين في حسب الشواغر الاتيه- منسق/ه ورد خبره لا تقل عن سنه- مشرف/ه مبيعات خبره لا تقل عن سنتينللتقديم : (https://tarasjobs.com/job/955/)انشر سيرتك الذاتية عند 3000 شركة :Tarasksa.com,2.8K
منصة ترس | JOBS,https://t.me/Taras_saudi,Taras_saudi,2024-10-31T15:44:10+00:00,9951,"منصة ترس السعودية
  
  شركة كبرى تبحث عن مرشحين للعمل في وظائف استقبال - منصة ترس السعودية
  الشروط: المؤهل ثانوية عامة كحد أدنى. حديث التخرج. إجادة اللغة الإنجليزية.",2024-11-06 00:54:00,شركة كبرى تبحث عن مرشحين للعمل في وظائف استقبالالشروط:- المؤهل ثانوية عامة كحد أدنى.- حديث التخرج.- إجادة اللغة الإنجليزية.للتقديم : (https://tarasjobs.com/job/950/)انشر سيرتك الذاتية عند 3000 شركة :Tarasksa.com,2.3K
منصة ترس | JOBS,https://t.me/Taras_saudi,Taras_saudi,2024-10-31T15:49:30+00:00,9954,"منصة ترس السعودية
  
  مطلوب بمصنع - منصة ترس السعودية
  (اخصائية تواصل اجتماعي) أيام العمل: ٦ أيام في الأسبوع الراتب: 4000 بعد خصم التأمينات الدوام صباحي (محاسبة ماليه) أيام العمل: ٦ أيام في الأسبوع الراتب: 5000 بعد خصم التأمينات الدوام صباحي (مبيعات هاتفيه ) أيام العمل: ٦ أيام في الأسبوع الراتب: 4550 بعد خصم…",2024-11-06 00:54:00,مطلوب بمصنع1- اخصائية تواصل اجتماعي- أيام العمل: ٦ أيام في الأسبوع- الراتب: 4000 بعد خصم التأمينات- الدوام صباحي2- محاسبة ماليه- أيام العمل: ٦ أيام في الأسبوع- الراتب: 5000 بعد خصم التأمينات- الدوام صباحي3- مبيعات هاتفيه- أيام العمل: ٦ أيام في الأسبوع- الراتب: 4550 بعد خصم التأمينات…للتقديم : (https://tarasjobs.com/job/952/)انشر سيرتك الذاتية عند 3000 شركة :Tarasksa.com,2.5K
منصة ترس | JOBS,https://t.me/Taras_saudi,Taras_saudi,2024-10-31T15:55:32+00:00,9956,,2024-11-06 00:54:00,شاغر وظيفي بمسمى مسؤول مشترياتالشروط :- خبرة سنه مع لغة إنجليزية- من سكان شرق جنوب الرياض- المباشرة فوراًللتقديم : (https://tarasjobs.com/job/954/)انشر سيرتك الذاتية عند 3000 شركة :Tarasksa.com,2.6K
منصة ترس | JOBS,https://t.me/Taras_saudi,Taras_saudi,2024-11-01T20:45:02+00:00,9961,,2024-11-06 00:54:00,لعل اجمل ايام عُمرك لم تأتِ بعد ..✨قليل من الجهدوكثير من حسن الظن بالله بتشوف وبتتأكد ان القادم اجمل .,3.5K
منصة ترس | JOBS,https://t.me/Taras_saudi,Taras_saudi,2024-11-01T20:34:31+00:00,9960,,2024-11-06 00:54:00,,3.5K
منصة ترس | JOBS,https://t.me/Taras_saudi,Taras_saudi,2024-11-02T12:43:12+00:00,9963,,2024-11-06 00:54:00,https://x.com/taras_saudi/status/1852692809267990789?s=46,3.0K
